admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode
Autonomous Region in Muslim Mindanao,PH150000000,<Null>,ARMM,<Null>,Philippines (the),PH
Cordillera Administrative Region,PH140000000,<Null>,CAR,<Null>,Philippines (the),PH
National Capital Region,PH130000000,<Null>,NCR,<Null>,Philippines (the),PH
Region I,PH010000000,<Null>,Ilocos Region,<Null>,Philippines (the),PH
Region II,PH020000000,<Null>,Cagayan Valley,<Null>,Philippines (the),PH
Region III,PH030000000,<Null>,Central Luzon,<Null>,Philippines (the),PH
Region IV-A,PH040000000,<Null>,Calabarzon,<Null>,Philippines (the),PH
Region IV-B,PH170000000,<Null>,Mimaropa,<Null>,Philippines (the),PH
Region IX,PH090000000,<Null>,Zamboanga Peninsula,<Null>,Philippines (the),PH
Region V,PH050000000,<Null>,Bicol Region,<Null>,Philippines (the),PH
Region VI,PH060000000,<Null>,Western Visayas,<Null>,Philippines (the),PH
Region VII,PH070000000,<Null>,Central Visayas,<Null>,Philippines (the),PH
Region VIII,PH080000000,<Null>,Eastern Visayas,<Null>,Philippines (the),PH
Region X,PH100000000,<Null>,Northern Mindanao,<Null>,Philippines (the),PH
Region XI,PH110000000,<Null>,Davao Region,<Null>,Philippines (the),PH
Region XII,PH120000000,<Null>,Soccsksargen,<Null>,Philippines (the),PH
Region XIII,PH160000000,<Null>,Caraga,<Null>,Philippines (the),PH
